doc_a_filename,doc_b_filename,contradiction_type,severity,claim_a_snippet,claim_b_snippet,section_a,section_b,is_contradiction,labeler_note
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","stale_reference","critical","The periodicity of such updation should not be less than once in five years in case of low risk category customers and not less than once in two years in case of high and medium risk categories.","However, periodic updation shall be carried out at least once in every two years for high-risk customers, once in every eight years for medium risk customers and once in every ten years for low-risk customers from the date of opening of the account / last KYC updation.","II. Know Your Customer (KYC) Guidelines - Paragraph 9","Chapter VI - Customer Due Diligence (CDD) Procedure - Paragraph 38","true","Pattern A (Timeline Update): The mandatory KYC periodic updation intervals have shifted significantly. Internal compliance policies utilizing the 2013 rules would cause over-frequent checks for low and medium risk customers rather than adhering to the updated 2025 timelines."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","stale_reference","critical","NBFCs should ensure that records pertaining to the identification of the customer and his address (e.g. copies of documents like passports, identity cards, driving licenses, PAN, utility bills etc.) obtained while opening the account and during the course of business relationship, are properly preserved for at least ten years after the business relationship is ended.","(b) preserve the records pertaining to the identification of the customers and their addresses obtained while opening the account and during the course of business relationship, for at least five years after the business relationship is ended;","III. Prevention of Money Laundering Act, 2002 - Paragraph 4","Chapter VII - Record Management - Paragraph 46","true","Pattern A (Timeline Update): The record preservation timeline for customer identification profiles has been reduced from ten years in the 2013 circular to five years in the 2025 Master Direction."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","numerical_discrepancy","critical","NBFCs should ensure that records pertaining to the identification of the customer and his address (e.g. copies of documents like passports, identity cards, driving licenses, PAN, utility bills etc.) obtained while opening the account and during the course of business relationship, are properly preserved for at least ten years after the business relationship is ended.","(b) preserve the records pertaining to the identification of the customers and their addresses obtained while opening the account and during the course of business relationship, for at least five years after the business relationship is ended;","III. Prevention of Money Laundering Act, 2002 - Paragraph 4","Chapter VII - Record Management - Paragraph 46","true","Direct numerical discrepancy in the mandatory retention period for customer identification records, which was halved from 10 years to 5 years."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","numerical_discrepancy","critical","The periodicity of such updation should not be less than once in five years in case of low risk category customers and not less than once in two years in case of high and medium risk categories.","However, periodic updation shall be carried out at least once in every two years for high-risk customers, once in every eight years for medium risk customers and once in every ten years for low-risk customers from the date of opening of the account / last KYC updation.","II. Know Your Customer (KYC) Guidelines - Paragraph 9","Chapter VI - Customer Due Diligence (CDD) Procedure - Paragraph 38","true","Direct numerical mismatch in the KYC updation cycles across identical risk tiers. Low-risk intervals jumped from 5 years to 10 years, and medium-risk intervals jumped from 2 years to 8 years."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","policy_conflict","moderate","Where the client is a trust, the banking company and financial institution, as the case may be, shall identify the beneficial owners of the client and take reasonable measures to verify the identity of such persons, through the identity of the settler of the trust, the trustee, the protector, the beneficiaries with 15% or more interest in the trust and any other natural person exercising ultimate effective control over the trust through a chain of control or ownership.","Where the customer is a trust, the identification of beneficial owner(s) shall include identification of the author of the trust, the trustee, the beneficiaries with 10 percent or more interest in the trust and any other natural person exercising ultimate effective control over the trust through a chain of control or ownership.","Annex-VI - Customer Identification Procedure (CIP) - Paragraph 3","Chapter I - PRELIMINARY - Paragraph 3(a)(iv)(d)","true","Pattern C (Rule Scope Mismatch): The definitional threshold for determining beneficial ownership inside a trust entity was structurally tightened, lowering the equity requirement from 15% in 2013 to 10% in the updated 2025 directive."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","policy_conflict","critical","a) introduction from another account holder who has been subjected to full KYC procedure. The introducer’s account with the NBFC should be at least six month old and should show satisfactory transactions. Photograph of the customer who proposes to open the account and also his address needs to be certified by the introducer.","(g) REs shall ensure that introduction is not to be sought while opening accounts.","II. Know Your Customer (KYC) Guidelines - Paragraph 5","Chapter V - Customer Identification Procedure (CIP) - Paragraph 13","true","Pattern C (Rule Scope Mismatch): The 2013 framework explicitly instructed using an existing customer's introduction for simplified KYC onboarding. The updated 2025 directive expressly prohibits seeking introductions, creating a direct regulatory breach if legacy policies are maintained."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","stale_reference","moderate","NBFCs are further advised that such review of risk categorisation of customers should be carried out at a periodicity of not less than once in six months.","Further, the periodicity of risk assessment exercise shall be determined by the Board or any committee of the Board of the RE to which power in this regard has been delegated, in alignment with the outcome of the risk assessment exercise. However, it should be reviewed at least annually.","II. Know Your Customer (KYC) Guidelines - Paragraph 9","CHAPTER IV - Risk Management - Paragraph 5A","true","Pattern A (Timeline Update): The mandatory frequency for reviewing a customer's risk categorization was fixed at a minimum of six months in 2013. The 2025 directive shifts this to a Board-determined frequency with a baseline of at least annually."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","policy_conflict","critical","Hence, it has been decided to further simplify the KYC procedure for opening accounts by NBFCs for those persons who intend to keep balances not exceeding rupees fifty thousand (Rs. 50,000/-) in all their accounts taken together and the total credit in all the accounts taken together is not expected to exceed rupees one lakh (Rs. 1,00,000/-) in a year.","Notwithstanding anything contained in paragraph 16 and as an alternative thereto, in case an individual who desires to open a bank account, banks shall open a ‘Small Account’, which entails the following limitations: i. the aggregate of all credits in a financial year does not exceed rupees one lakh; ii. the aggregate of all withdrawals and transfers in a month does not exceed rupees ten thousand; and iii. the balance at any point of time does not exceed rupees fifty thousand.","II. Know Your Customer (KYC) Guidelines - Paragraph 4","Chapter VI - Customer Due Diligence (CDD) Procedure - Paragraph 23","true","Pattern C (Rule Scope Mismatch): The 2013 guidelines for simplified accounts only restricted total balance and annual credits. The 2025 directive introduces a monthly transaction cap (Rs. 10,000 on withdrawals and transfers) which would be missed by legacy monitoring systems."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","policy_conflict","critical","(iv) Electricity bill (v) Ration card (vi) Letter from employer (subject to satisfaction of the bank)","“Officially Valid Document” (OVD) means the passport, the driving licence, proof of possession of Aadhaar number, the Voter's Identity Card issued by the Election Commission of India, job card issued by NREGA duly signed by an officer of the State Government and letter issued by the National Population Register containing details of name and address.","Annex-VIII - Customer Identification Procedure","Chapter I - PRELIMINARY - Paragraph 3(a)(xiv)","true","Pattern C (Rule Scope Mismatch): The 2013 framework allowed relying on ration cards and employer letters. The 2025 Master Direction explicitly redefines OVDs to a closed list, removing ration cards and employer letters entirely."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","policy_conflict","critical","NBFCs (including RNBCs) should appoint a senior management officer to be designated as Principal Officer and the role and responsibilities of the Principal Officer have been detailed therein.","(d) In no case, the Principal Officer shall be nominated as the 'Designated Director'.","II. Know Your Customer (KYC) Guidelines - Paragraph 15","CHAPTER I - PRELIMINARY - Paragraph 6(d)","true","Pattern C (Rule Scope Mismatch): The 2013 guidelines positioned the Principal Officer as the ultimate senior management point for AML compliance. The 2025 directive requires a 'Designated Director' and explicitly forbids the Principal Officer from simultaneously holding this role."
